"","Player","Player_Name_Compact","Team","City","Game_Started","Games_Played","Minutes","Points","Two_Point_Made","Two_Point_Attempted","Two_Point_Percentage","Three_Point_Made","Three_Point_Attempted","Three_Point_Percentage","Free_Throws_Made","Free_Throws_Attempted","Free_Throws_Percentage","Defensive_Rebounds","Offensive_Rebounds","Total_Rebounds","Turnovers","Steals","Blocks_against","Blocks","Assists","Personal_Fouls","Personal_Fouls_Drawn","Efficiency"
"352","Picotti Stefano","Picotti S.","BASKETBALL GALLARATE","GALLARATE","16","6","63","12","6","11","55","0","1","0","","","","11","1","12","4","1","","","","6","3","12"
"353","Pigozzi Leonardo","Pigozzi L.","BASKETBALL GALLARATE","GALLARATE","4","0","","0","","","","","","","","","","","","","","","","","","","",""
"354","Pirovano Nicolo' Matteo","Pirovano N.","CARPE DIEM BASKET","CALOLZIOCORTE","5","5","105","24","10","15","67","0","7","0","4","8","50","21","2","23","6","2","","2","11","11","11","40"
"355","Pirovano Mattia","Pirovano M.","CARPE DIEM BASKET","CALOLZIOCORTE","15","12","134","41","9","21","43","7","19","37","2","3","67","11","3","14","9","2","1","","4","18","10","18"
"356","Pitarresi Fabio","Pitarresi F.","7 LAGHI GAZZADA","GAZZADA","18","4","7","2","1","2","50","","","","","","","","","","1","","","","","","1","1"
"357","Pocius Rokas","Pocius R.","BASKET TEAM E.BATTAGLIA","MORTARA","19","19","666","375","121","227","53","7","33","21","112","159","70","174","59","233","71","20","10","7","52","45","151","533"
"358","Pogliana Giacomo","Pogliana G.","NERVIANESE 1919","NERVIANO","20","9","22","0","0","1","0","","","","","","","3","1","4","3","","","","2","9","1","-6"
"359","Politi Filippo","Politi F.","ROBUR BASKET SARONNO","SARONNO","19","19","487","248","84","160","52","3","6","50","71","86","83","86","44","130","37","8","2","7","23","37","75","321"
"360","Pontisso Stefano","Pontisso S.","DELTA LINE OPERA","OPERA","8","7","161","59","19","32","59","3","18","17","12","25","48","23","5","28","22","10","1","1","13","28","25","44"
"361","Porrati Valerio","Porrati V.","LEGNANO KNIGHTS","LEGNANO","10","5","9","0","0","1","0","","","","","","","2","1","3","","2","","","","","","4"
"362","Porro Nicholas","Porro N.","CARPE DIEM BASKET","CALOLZIOCORTE","15","15","294","60","29","64","45","0","3","0","2","4","50","45","22","67","5","7","2","3","6","26","8","78"
"363","Prati Riccardo","Prati R.","BASKET SUSTINENTE","SUSTINENTE","14","8","124","38","9","18","50","2","8","25","14","17","82","16","","16","10","","","","4","10","10","30"
"364","Priuli Alessandro","Priuli A.","NERVIANESE 1919","NERVIANO","12","12","347","80","25","59","42","","","","30","48","62","70","31","101","20","11","2","8","21","27","65","185"
"365","Puricelli Daniele","Puricelli D.","COPERT. ALLUMINIO BAJ ARCISATE","ARCISATE","18","18","426","194","54","115","47","21","68","31","23","33","70","88","48","136","22","17","1","2","15","34","27","216"
"366","Quaglia Pietro","Quaglia P.","ROBUR BASKET SARONNO","SARONNO","14","8","88","8","1","4","25","0","3","0","6","8","75","11","","11","12","2","","","11","6","9","15"
"367","Quarta Flavio","Quarta F.","TEAM ABC CANTU'","CANTU'","15","12","77","18","5","17","29","1","3","33","5","9","56","9","3","12","9","3","1","","2","8","7","6"
"368","Quinti Andrea","Quinti A.","ROBUR BASKET SARONNO","SARONNO","19","19","253","74","30","62","48","","","","14","30","47","54","32","86","14","8","","13","14","31","26","128"
"369","Ragagnin Giovanni","Ragagnin G.","SANSEBASKET","CREMONA","19","18","415","173","20","57","35","33","97","34","34","44","77","39","10","49","34","22","3","","17","33","51","131"
"370","Ragni Alberto","Ragni A.","MILANOTRE BASKET","MILANOTRE","18","16","214","52","18","50","36","0","1","0","16","24","67","26","20","46","10","3","3","5","4","39","19","36"
"371","Rakic Kristijan","Rakic K.","OLIMPIA LUMEZZANE","LUMEZZANE","20","14","111","8","2","4","50","1","5","20","1","4","25","9","2","11","9","1","","1","8","12","4","3"
"372","Ramenghi Francesco","Ramenghi F.","LIBERTAS CERNUSCO","CERNUSCO","11","10","62","18","7","16","44","1","3","33","1","3","33","6","5","11","3","4","1","1","2","7","4","16"
"373","Rampoldi Davide","Rampoldi D.","BASKET ROVELLO","ROVELLO","9","6","17","8","1","5","20","2","3","67","","","","1","","1","","","1","","2","1","","4"
"374","Rappoccio Bruno","Rappoccio B.","NBB BRESCIA","BRESCIA","21","21","638","185","25","78","32","29","87","33","48","56","86","65","11","76","67","29","","2","73","55","77","201"
"375","Raskovic Marko","Raskovic M.","NEW BASKET PREVALLE","PREVALLE","19","17","420","194","84","148","57","0","12","0","26","39","67","73","38","111","28","16","3","2","19","58","44","208"
"376","Ravelli Giovanni","Ravelli G.","OLIMPIA LUMEZZANE","LUMEZZANE","12","1","5","3","","","","1","1","100","","","","1","","1","","","","","","1","1","4"
"377","Reali Marco","Reali M.","PALL. MILANO 1958","MILANO","20","20","599","227","17","56","30","55","151","36","28","37","76","94","8","102","28","11","3","5","24","45","32","181"
"378","Remonti Marco","Remonti M.","7 LAGHI GAZZADA","GAZZADA","4","2","13","0","","","","0","1","0","","","","3","","3","","","","","","1","","1"
"379","Riefolo Giacomo","Riefolo G.","7 LAGHI GAZZADA","GAZZADA","2","1","4","0","","","","","","","","","","","","","","","","","","","",""
"380","Riggi Luca","Riggi L.","SOCIAL O.S.A.","OSA MILANO","19","19","254","72","12","37","32","14","32","44","6","8","75","31","10","41","10","2","1","","8","29","14","52"
"381","Rigon Davide","Rigon D.","SOCIAL O.S.A.","OSA MILANO","16","16","263","112","26","70","37","15","50","30","15","27","56","60","11","71","24","11","2","3","10","45","18","63"
"382","Rimoldi Lorenzo","Rimoldi L.","COPERT. ALLUMINIO BAJ ARCISATE","ARCISATE","18","18","230","22","4","20","20","4","28","14","2","4","50","23","5","28","10","7","","","1","21","9","-6"
"383","Rinaldi Luca Giacomo","Rinaldi L.","VIRTUS LUMEZZANE","LUMEZZANE","20","19","395","140","48","84","57","11","33","33","11","20","55","54","12","66","24","6","","1","15","37","24","124"
"384","Riva Manuel Simone Maria","Riva M.","LIBERTAS CERNUSCO","CERNUSCO","18","18","401","187","27","60","45","37","123","30","22","25","88","15","2","17","19","15","","","11","18","17","88"
"385","Romei Longhena Giovanni","Romei Longhena G.","BASKET ROVELLO","ROVELLO","19","18","367","99","23","48","48","13","43","30","14","23","61","28","15","43","13","10","1","3","8","34","26","77"
"386","Romei Longhena Agostino","Romei Longhena A.","BASKET ROVELLO","ROVELLO","18","18","396","110","44","90","49","","","","22","31","71","47","36","83","26","9","1","3","21","48","28","124"
"387","Roncari Luca","Roncari L.","LEGNANO KNIGHTS","LEGNANO","19","19","402","105","25","67","37","11","41","27","22","32","69","32","7","39","16","10","5","","30","27","32","86"
"388","Ronchetti Andrea","Ronchetti A.","TEAM ABC CANTU'","CANTU'","19","19","422","109","35","63","56","10","31","32","9","14","64","63","28","91","13","15","2","","14","49","25","136"
"389","Ronchetti Paolo","Ronchetti P.","BASKET ROVELLO","ROVELLO","14","12","37","20","6","9","67","2","7","29","2","5","40","6","2","8","2","3","1","","3","7","6","19"
"390","Rosignoli Davide","Rosignoli D.","7 LAGHI GAZZADA","GAZZADA","5","5","166","52","19","44","43","0","6","0","14","22","64","42","24","66","13","2","1","","9","13","21","84"
"391","Rusconi Martino","Rusconi M.","CARPE DIEM BASKET","CALOLZIOCORTE","12","12","273","107","25","60","42","17","45","38","6","9","67","42","13","55","28","5","2","","17","35","13","66"
"392","Ruzzon Marco","Ruzzon M.","PALL. LISSONE","LISSONE","20","20","290","85","15","36","42","15","48","31","10","14","71","33","3","36","15","9","","","20","32","15","60"
"393","Sacchi Mattia","Sacchi M.","BASKET TEAM E.BATTAGLIA","MORTARA","19","19","457","203","39","74","53","28","66","42","41","54","76","39","8","47","26","10","2","3","27","53","62","185"
"394","Sacripanti Filippo","Sacripanti F.","TEAM ABC CANTU'","CANTU'","3","1","6","2","1","1","100","0","1","0","","","","1","","1","","","","","","","","2"
"395","Sala Tommaso","Sala T.","FORTITUDO BUSNAGO","BUSNAGO","1","1","1","0","","","","","","","","","","","","","","","","","","","",""
"396","Saletti Stefano","Saletti S.","NEW BASKET PREVALLE","PREVALLE","20","20","357","59","27","55","49","1","4","25","2","5","40","65","31","96","24","10","","4","12","45","11","89"
"397","Sambruna Leonardo","Sambruna L.","PALL. LISSONE","LISSONE","3","2","3","0","","","","0","2","0","","","","1","","1","","","","","1","","",""
"398","Santambrogio Marco","Santambrogio M.","ROBUR BASKET SARONNO","SARONNO","18","18","440","159","30","68","44","29","71","41","12","20","60","49","4","53","29","13","","","62","37","33","166"
"399","Santangelo Giuseppe","Santangelo G.","BOCCONI SPORT TEAM","MILANO TEAM","16","15","153","39","13","26","50","2","10","20","7","12","58","9","4","13","13","2","","","5","16","10","14"
"400","Santolamazza Riccardo","Santolamazza R.","BOCCONI SPORT TEAM","MILANO TEAM","18","18","511","206","27","75","36","21","66","32","89","105","85","101","13","114","44","19","1","3","72","45","99","314"
"401","Scekic Nikola","Scekic N.","NEW BASKET PREVALLE","PREVALLE","20","18","530","233","65","104","62","27","66","41","22","42","52","84","38","122","31","15","1","1","21","49","40","253"
"402","Scekic Nemanja","Scekic N.","PALL. GARDONESE","GARDONESE","5","5","53","21","7","14","50","1","1","100","4","7","57","10","5","15","8","2","","1","","10","7","18"
"403","Scrima Nicolo'","Scrima N.","BOCCONI SPORT TEAM","MILANO TEAM","12","12","244","82","14","45","31","11","39","28","21","29","72","24","3","27","11","2","3","","14","18","28","54"
"404","Scroccaro Riccardo","Scroccaro R.","PALL. MILANO 1958","MILANO","11","8","165","38","8","24","33","4","10","40","10","12","83","8","4","12","8","2","1","","10","10","6","25"
"405","Scuratti Stefano","Scuratti S.","TEAM ABC CANTU'","CANTU'","20","20","423","154","64","122","52","0","2","0","26","35","74","45","27","72","33","6","2","8","12","54","40","134"
"406","Sebastiani Marco","Sebastiani M.","SOCIAL O.S.A.","OSA MILANO","19","18","212","37","10","27","37","1","14","7","14","21","67","10","2","12","8","9","3","1","9","19","15","16"
"407","Semeraro Riccardo","Semeraro R.","MAZZOLENI B.T. PIZZIGHETTONE","PIZZIGHETTONE","11","1","1","0","0","1","0","","","","","","","","","","1","","","","","","","-2"
"408","Severgnini Stefano","Severgnini S.","MAZZOLENI B.T. PIZZIGHETTONE","PIZZIGHETTONE","20","20","274","69","21","48","44","7","25","28","6","14","43","32","12","44","23","10","2","22","12","44","21","56"
"409","Siccardo Filippo","Siccardo F.","LIBERTAS CERNUSCO","CERNUSCO","17","17","364","139","39","99","39","7","32","22","40","52","77","30","13","43","39","27","9","2","25","46","65","110"
"410","Sirtori Emanuele","Sirtori E.","LIBERTAS CERNUSCO","CERNUSCO","19","19","346","133","59","131","45","0","1","0","15","35","43","70","29","99","18","11","6","3","17","66","37","117"
"411","Soldati Davide","Soldati D.","PALL. MILANO 1958","MILANO","6","1","1","0","","","","","","","","","","","","","","","","","","","",""
"412","Somaschini Elia","Somaschini E.","7 LAGHI GAZZADA","GAZZADA","16","16","361","52","13","29","45","7","27","26","5","13","38","34","17","51","11","4","2","","14","29","22","57"
"413","Spera Gaetano","Spera G.","NERVIANESE 1919","NERVIANO","6","6","171","57","22","39","56","0","2","0","13","22","59","43","8","51","10","4","","5","12","19","25","97"
"414","Spera Gaetano","Spera G.","7 LAGHI GAZZADA","GAZZADA","8","8","181","57","22","44","50","0","1","0","13","17","76","40","11","51","17","5","","4","5","22","22","78"
"415","Speronello Davide","Speronello D.","LEGNANO KNIGHTS","LEGNANO","15","15","474","152","26","57","46","23","87","26","31","42","74","43","10","53","41","16","3","1","43","43","43","115"
"416","Spirolazzi Davide","Spirolazzi D.","DELTA LINE OPERA","OPERA","20","20","604","285","86","159","54","18","73","25","59","85","69","77","43","120","41","21","4","2","37","63","62","265"
"417","Spoldi Lorenzo","Spoldi L.","SANSEBASKET","CREMONA","8","5","20","5","2","3","67","0","1","0","1","2","50","4","","4","3","2","","","1","2","4","8"
"418","Squarcina Niccolo'","Squarcina N.","VIRTUS PALL. CERMENATE","CERMENATE","16","11","166","55","7","14","50","8","24","33","17","25","68","26","5","31","6","8","","4","5","20","18","64"
"419","Staffiere Rocco Eliseo","Staffiere R.","ARGOMM BASKET ISEO","ISEO","20","14","115","27","3","7","43","7","24","29","","","","6","1","7","13","7","1","1","7","20","2","-4"
"420","Strambini Pietro","Strambini P.","VIRTUS PALL. CERMENATE","CERMENATE","2","0","","0","","","","","","","","","","","","","","","","","","","",""
"421","Strautmanis Kristofers","Strautmanis K.","SANSEBASKET","CREMONA","20","20","399","212","68","108","63","11","37","30","43","63","68","51","33","84","25","10","2","","10","57","56","202"
"422","Syku Andrea","Syku A.","7 LAGHI GAZZADA","GAZZADA","4","1","1","0","","","","","","","","","","","","","","","","","","","",""
"423","Tagliabue Filippo","Tagliabue F.","HYDROTHERM BUSTO ARSIZIO","BUSTO ARSIZIO","20","20","367","136","56","131","43","2","7","29","18","24","75","70","21","91","30","4","4","7","23","53","33","121"
"424","Tamagnone Norberto Maria","Tamagnone N.","FORTITUDO BUSNAGO","BUSNAGO","19","17","109","13","2","7","29","2","8","25","3","6","50","10","7","17","6","2","","","4","13","3","6"
"425","Tamani Kemda Georges Arthur","Tamani Kemda G.","SOCIAL O.S.A.","OSA MILANO","1","1","6","0","0","1","0","","","","","","","1","","1","1","1","","","","1","","-1"
"426","Tandoi Niccolo'","Tandoi N.","PALL. MILANO 1958","MILANO","10","10","319","148","53","84","63","6","14","43","24","33","73","21","4","25","23","7","3","","26","22","32","142"
"427","Tandoi Niccolo'","Tandoi N.","DELTA LINE OPERA","OPERA","5","5","123","34","11","28","39","2","16","12","6","9","67","21","6","27","6","6","","","7","5","8","37"
"428","Tannoia Riccardo","Tannoia R.","DELTA LINE OPERA","OPERA","20","20","568","185","55","114","48","16","68","24","27","41","66","68","13","81","29","34","6","","59","56","63","206"
"429","Tavasci Andrea","Tavasci A.","COPERT. ALLUMINIO BAJ ARCISATE","ARCISATE","7","4","10","2","1","1","100","0","1","0","","","","","","","","","","","1","","","2"
"430","Tedeschi Leonardo","Tedeschi L.","PALL. LISSONE","LISSONE","20","20","415","115","43","89","48","5","24","21","14","22","64","24","6","30","20","24","2","","30","51","31","84"
"431","Tedoldi Marco","Tedoldi M.","ARGOMM BASKET ISEO","ISEO","21","21","518","178","39","69","57","24","88","27","28","41","68","57","15","72","25","12","","5","23","49","35","144"
"432","Terpstra Stefano","Terpstra S.","MAZZOLENI B.T. PIZZIGHETTONE","PIZZIGHETTONE","9","2","1","0","","","","","","","","","","","","","","","","","","","",""
"433","Terraneo Mattia","Terraneo M.","BASKET ROVELLO","ROVELLO","15","13","138","48","13","24","54","4","15","27","10","12","83","6","2","8","13","1","","1","11","14","13","31"
"434","Terreni Goncalves Silva Emanuel","Terreni Goncalves Silva E.","VIRTUS PALL. CERMENATE","CERMENATE","18","18","286","149","68","128","53","2","10","20","7","13","54","54","33","87","28","9","4","5","4","43","25","130"
"435","Tinto Daniele","Tinto D.","PALL. GARDONESE","GARDONESE","20","19","515","184","43","91","47","22","72","31","32","57","56","64","28","92","35","35","3","1","48","56","48","191"
"436","Tognati Edoardo","Tognati E.","LEGNANO KNIGHTS","LEGNANO","14","3","12","3","","","","1","3","33","","","","","","","2","","","","","1","","-2"
"437","Tognoni Davide","Tognoni D.","BASKET SUSTINENTE","SUSTINENTE","20","20","456","126","35","84","42","11","41","27","23","38","61","45","20","65","31","10","6","1","11","42","29","69"
"438","Tolasi Edoardo","Tolasi E.","MAZZOLENI B.T. PIZZIGHETTONE","PIZZIGHETTONE","8","4","8","0","","","","","","","","","","1","","1","1","","","","","","",""
"439","Tolasi Michele","Tolasi M.","MAZZOLENI B.T. PIZZIGHETTONE","PIZZIGHETTONE","7","1","1","0","","","","","","","","","","","","","","","","","","","",""
"440","Tomaselli Jacopo","Tomaselli J.","BASKET ROVELLO","ROVELLO","19","19","347","56","14","33","42","7","27","26","7","12","58","50","5","55","20","12","1","1","28","27","18","78"
"441","Tomba Enrico Marco","Tomba E.","AURORA DESIO 94","DESIO","19","19","277","82","17","36","47","11","30","37","15","20","75","29","14","43","15","16","1","4","27","41","23","95"
"442","Tomic Leon","Tomic L.","OLIMPIA LUMEZZANE","LUMEZZANE","21","21","591","274","97","209","46","1","4","25","77","105","73","180","64","244","65","21","11","5","32","65","96","388"
"443","Tonelli Davide","Tonelli D.","AURORA DESIO 94","DESIO","1","1","25","7","3","4","75","0","1","0","1","2","50","5","1","6","","1","","","3","3","1","12"
"444","Tornari Matteo","Tornari M.","AURORA DESIO 94","DESIO","8","8","141","50","6","8","75","11","27","41","5","6","83","13","1","14","8","10","","","24","19","15","67"
"445","Tornari Matteo","Tornari M.","BASKET ROVELLO","ROVELLO","11","11","322","141","23","50","46","24","85","28","23","30","77","33","4","37","25","10","2","1","47","34","28","108"
"446","Tosi Paolo","Tosi P.","ROBUR BASKET SARONNO","SARONNO","15","9","108","43","13","24","54","5","16","31","2","3","67","20","6","26","9","3","","2","4","13","6","39"
"447","Tresso Davide","Tresso D.","ROBUR BASKET SARONNO","SARONNO","19","19","401","185","70","105","67","8","18","44","21","30","70","30","25","55","19","11","8","2","16","48","27","167"
"448","Trunic Lazar","Trunic L.","SANSEBASKET","CREMONA","20","19","521","252","37","93","40","40","133","30","58","77","75","78","25","103","46","10","5","2","23","31","49","189"
"449","Turelli Matteo","Turelli M.","ROMANO LOMBARDO","BERGAMO","8","5","79","30","8","14","57","3","10","30","5","8","62","13","2","15","2","1","","3","2","8","7","32"
"450","Ubiali Alessandro","Ubiali A.","OLIMPIA LUMEZZANE","LUMEZZANE","9","9","189","54","15","31","48","5","17","29","9","10","90","15","4","19","13","6","","","19","22","14","48"
"451","Urbonavicius Benius","Urbonavicius B.","BASKET TEAM E.BATTAGLIA","MORTARA","19","19","598","300","79","128","62","40","102","39","22","41","54","104","55","159","34","16","1","9","31","46","36","340"
"452","Vai Federico","Vai F.","HYDROTHERM BUSTO ARSIZIO","BUSTO ARSIZIO","20","20","557","242","26","52","50","49","136","36","43","54","80","68","6","74","43","24","2","3","33","51","49","205"
"453","Varrone Davide","Varrone D.","PALL. GARDONESE","GARDONESE","13","13","139","26","9","21","43","","","","8","10","80","24","10","34","13","1","3","3","3","13","10","34"
"454","Ventura Roberto","Ventura R.","PALL. LISSONE","LISSONE","19","16","105","18","2","7","29","4","18","22","2","2","100","10","4","14","8","2","","1","6","21","6","-1"
"455","Verga Phuwin Simone","Verga P.","VIRTUS PALL. CERMENATE","CERMENATE","18","2","3","0","","","","","","","","","","1","","1","","","","","","1","",""
"456","Veronesi Filippo","Veronesi F.","ARGOMM BASKET ISEO","ISEO","20","20","469","176","65","126","52","3","7","43","37","51","73","75","39","114","34","14","5","1","15","60","50","192"
"457","Verri Damiano","Verri D.","7 LAGHI GAZZADA","GAZZADA","18","18","532","263","92","140","66","15","51","29","34","52","65","128","37","165","36","12","3","6","18","59","56","320"
"458","Vesentini Alfonso","Vesentini A.","BASKET SUSTINENTE","SUSTINENTE","7","5","44","2","1","3","33","0","1","0","0","2","0","2","1","3","1","3","","","1","4","2","1"
"459","Vigano' Umberto","Vigano' U.","NERVIANESE 1919","NERVIANO","10","10","152","45","9","15","60","8","27","30","3","5","60","16","3","19","5","2","1","1","5","18","6","27"
"460","Villa Gabriele","Villa G.","ROMANO LOMBARDO","BERGAMO","18","18","485","216","28","57","49","38","97","39","46","55","84","68","8","76","18","10","1","1","31","53","48","213"
"461","Villa Lorenzo","Villa L.","BASKET ROVELLO","ROVELLO","19","18","371","184","39","69","57","27","100","27","25","41","61","48","10","58","23","17","3","5","17","41","36","131"
"462","Villa Edoardo","Villa E.","PALL. LISSONE","LISSONE","13","3","9","0","","","","0","1","0","","","","","","","","1","","","","1","","-1"
"463","Villa Andrea","Villa A.","NBB BRESCIA","BRESCIA","6","1","4","0","0","1","0","","","","","","","2","","2","","","","","","","","1"
"464","Werlich Alessandro","Werlich A.","FORTITUDO BUSNAGO","BUSNAGO","7","7","197","69","15","29","52","9","32","28","12","17","71","19","3","22","15","7","","1","7","18","19","50"
"465","Zambelli Federico","Zambelli F.","CARPE DIEM BASKET","CALOLZIOCORTE","18","18","540","213","47","117","40","31","111","28","26","33","79","52","8","60","28","21","1","","78","37","47","196"
"466","Zattra Davide","Zattra D.","COPERT. ALLUMINIO BAJ ARCISATE","ARCISATE","16","14","272","81","38","68","56","","","","5","10","50","29","18","47","19","8","3","4","6","37","8","60"
"467","Zeneli Franci","Zeneli F.","AURORA DESIO 94","DESIO","19","19","398","218","92","156","59","8","25","32","10","21","48","78","20","98","25","13","1","8","13","27","28","233"
"468","Zhala Marco","Zhala M.","SANSEBASKET","CREMONA","14","7","14","8","3","4","75","0","2","0","2","5","40","2","","2","1","","","","1","3","3","4"
"469","Ziviani Lorenzo","Ziviani L.","TEAM ABC CANTU'","CANTU'","19","19","324","134","31","72","43","13","36","36","33","43","77","33","7","40","35","16","2","5","17","41","53","113"
"470","Zorat Michele","Zorat M.","NEW BASKET PREVALLE","PREVALLE","20","18","187","52","9","29","31","7","20","35","13","16","81","10","8","18","9","15","1","1","7","31","10","26"
